2026-06-30 12:03:11 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 12:03:11 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 12:03:11 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'break_confirm_bars': 1, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 12:03:12 | INFO  | 共处理 4991 根K线
2026-06-30 12:03:12 | INFO  | 回测完成
2026-06-30 12:03:12 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 12:03:12 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 12:06:13 | INFO  | 数据加载完成: 5000 根K线, 2025-07-30 14:30:00 ~ 2026-06-30 03:15:00
2026-06-30 12:06:13 | INFO  | 回测时段: 2025-07-30 14:30:00 ~ 2026-06-29 14:45:00
2026-06-30 12:06:13 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 12:06:14 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.015, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 13:52:50 | INFO  | 数据加载完成: 5000 根K线, 2025-07-31 01:00:00 ~ 2026-06-30 05:45:00
2026-06-30 13:52:50 | INFO  | 回测时段: 2025-07-31 01:00:00 ~ 2026-06-29 14:45:00
2026-06-30 13:52:50 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 13:52:51 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.02, 'break_confirm_bars': 1, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 13:54:42 | INFO  | 数据加载完成: 5000 根K线, 2025-07-31 01:00:00 ~ 2026-06-30 05:45:00
2026-06-30 13:54:42 | INFO  | 回测时段: 2025-07-31 01:00:00 ~ 2026-06-29 14:45:00
2026-06-30 13:54:42 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 13:54:42 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.02, 'break_confirm_bars': 1, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 13:54:43 | INFO  | 共处理 4989 根K线
2026-06-30 13:54:43 | INFO  | 回测完成
2026-06-30 13:54:43 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 13:54:43 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 13:59:06 | INFO  | 数据加载完成: 5000 根K线, 2025-07-31 01:00:00 ~ 2026-06-30 05:45:00
2026-06-30 13:59:06 | INFO  | 回测时段: 2025-07-31 01:00:00 ~ 2026-06-29 14:45:00
2026-06-30 13:59:06 | INFO  | 策略参数: {'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'use_trailing_stop': False, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2}
2026-06-30 13:59:06 | INFO  | 策略初始化: PbxUShapeStrategy(params={'pbx_periods': [4, 6, 9, 13, 18, 24], 'pbx_trend_bars': 100, 'lookback': 8, 'recovery_ratio': 0.3, 'min_drop_pct': 0.002, 'u_shape_smooth': 3, 'use_hour_filter': True, 'hour_trend_bars': 100, 'sweet_zone_tolerance': 0.02, 'break_confirm_bars': 1, 'volume_confirm': False, 'volume_factor': 1.2, 'use_rsi_filter': False, 'rsi_oversold': 30, 'rsi_overbought': 70, 'pbx_deviation_max': 0.03, 'use_atr_stop': True, 'atr_period': 14, 'stop_loss_atr': 1.5, 'take_profit_atr': 3.0, 'fixed_contracts': 1, 'use_dynamic_sizing': False, 'risk_per_trade': 0.005, 'max_positions_per_day': 3, 'min_holding_bars': 2, 'use_trailing_stop': False})
2026-06-30 13:59:07 | INFO  | 共处理 4989 根K线
2026-06-30 13:59:07 | INFO  | 回测完成
2026-06-30 13:59:07 | INFO  | 日线方向记录已保存: results\daily_direction.csv
2026-06-30 13:59:07 | INFO  | 权益曲线已保存: results\equity_curve.png
2026-06-30 14:23:21 | INFO  | 数据加载完成: 5000 根K线, 2025-07-31 01:30:00 ~ 2026-06-30 06:15:00
2026-06-30 14:23:21 | INFO  | 回测时段: 2025-07-31 01:30:00 ~ 2026-06-29 14:45:00
